yearArticle, authorArticle, year, authorFirst, authorLast, authors, article, number, line
"2019","Tourish, Dennis","2011","Allen P","Allen P","Allen P","1","1","Allen P, 2011, SAGE HDB COMPLEXITY, P164."
"2019","Tourish, Dennis","2003","Alvesson M","Alvesson M","Alvesson M","1","1","Alvesson M, 2003, HUM RELAT, V56, P1435, DOI 10.1177/00187267035612001."
"2019","Tourish, Dennis","2013","Alvesson M","Alvesson M","Alvesson M","1","1","Alvesson M, 2013, TRIUMPH EMPTINESS CO."
"2019","Tourish, Dennis","2012","Alvesson M","Alvesson M","Alvesson M","1","1","Alvesson M, 2012, HUM RELAT, V65, P367, DOI 10.1177/0018726711430555."
"2019","Tourish, Dennis","2012","{[}Anonymous]","{[}Anonymous]","{[}Anonymous]","1","1","{[}Anonymous], 2012, TOOLS TECHN LEAD MAN."
"2019","Tourish, Dennis","1965","Ansoff H.","Ansoff H.","Ansoff H.","1","1","Ansoff H., 1965, CORPORATE STRATEGY."
"2019","Tourish, Dennis","2016","Arena M. J.","Arena M. J.","Arena M. J.","1","1","Arena M. J., 2016, PEOPLE STRATEGY, V39, P22."
"2019","Tourish, Dennis","2005","Avolio BJ","Avolio BJ","Avolio BJ","1","1","Avolio BJ, 2005, LEADERSHIP QUART, V16, P315, DOI 10.1016/j.leaqua.2005.03.001."
"2019","Tourish, Dennis","2006","Bass B.M.","Bass B.M.","Bass B.M.","1","1","Bass B.M., 2006, TRANSFORMATIONAL LEA."
"2019","Tourish, Dennis","2014","Bennett N.","Bennett N.","Bennett N.","1","1","Bennett N., 2014, HARVARD BUS REV, V92, P1."
"2019","Tourish, Dennis","2007","Boal KB","Boal KB","Boal KB","1","1","Boal KB, 2007, LEADERSHIP QUART, V18, P411, DOI 10.1016/j.leaqua.2007.04.008."
"2019","Tourish, Dennis","1979","Burrell G.","Burrell G.","Burrell G.","1","1","Burrell G., 1979, SOCIOLOGICAL PARADIG, DOI 10.4324/9781315242804."
"2019","Tourish, Dennis","2006","Carley K.","Carley K.","Carley K.","1","1","Carley K., 2006, EMERGENCE COMPLEXITY, V8, P61."
"2019","Tourish, Dennis","2011","Chia R.","Chia R.","Chia R.","1","1","Chia R., 2011, SAGE HDB COMPLEXITY, P182."
"2019","Tourish, Dennis","2006","Collinson D","Collinson D","Collinson D","1","1","Collinson D, 2006, LEADERSHIP QUART, V17, P179, DOI 10.1016/j.leaqua.2005.12.005."
"2019","Tourish, Dennis","1994","Collinson D.","Collinson D.","Collinson D.","1","1","Collinson D., 1994, RESISTANCE POWER ORG, P25."
"2019","Tourish, Dennis","2014","Collinson D","Collinson D","Collinson D","1","1","Collinson D, 2014, LEADERSHIP-LONDON, V10, P36, DOI 10.1177/1742715013510807."
"2019","Tourish, Dennis","2015","Cooren F","Cooren F","Cooren F","1","1","Cooren F, 2015, ORG DISCOURSE COMMUN."
"2019","Tourish, Dennis","2008","Cooren F.","Cooren F.","Cooren F.","1","1","Cooren F., 2008, BUILDING THEORIES OR, P117."
"2019","Tourish, Dennis","2000","Corman S. R.","Corman S. R.","Corman S. R.","1","1","Corman S. R., 2000, PERSPECTIVES ORG COM."
"2019","Tourish, Dennis","2015","Cornelissen JP","Cornelissen JP","Cornelissen JP","1","1","Cornelissen JP, 2015, ACAD MANAGE REV, V40, P10, DOI 10.5465/amr.2014.0381."
"2019","Tourish, Dennis","2014","Day D.V.","Day D.V.","Day D.V.","1","1","Day D.V., 2014, OXFORD HDB CONFLICT."
"2019","Tourish, Dennis","2005","de Ven AHV","de Ven AHV","de Ven AHV","1","1","de Ven AHV, 2005, ORGAN STUD, V26, P1377, DOI 10.1177/0170840605056907."
"2019","Tourish, Dennis","1996","Deetz S","Deetz S","Deetz S","1","1","Deetz S, 1996, ORGAN SCI, V7, P191, DOI 10.1287/orsc.7.2.191."
"2019","Tourish, Dennis","2010","DeRue DS.","DeRue DS.","DeRue DS.","1","1","DeRue DS., 2010, ACAD MANAGE REV, V35, P627."
"2019","Tourish, Dennis","2013","Dionysiou DD","Dionysiou DD","Dionysiou DD","1","1","Dionysiou DD, 2013, ACAD MANAGE REV, V38, P181, DOI 10.5465/amr.2011.0215."
"2019","Tourish, Dennis","2008","Drath WH","Drath WH","Drath WH","1","1","Drath WH, 2008, LEADERSHIP QUART, V19, P635, DOI 10.1016/j.leaqua.2008.09.003."
"2019","Tourish, Dennis","2005","Fairclough N","Fairclough N","Fairclough N","1","1","Fairclough N, 2005, ORGAN STUD, V26, P915, DOI 10.1177/0170840605054610."
"2019","Tourish, Dennis","2000","Fairhurst GT","Fairhurst GT","Fairhurst GT","1","1","Fairhurst GT, 2000, GUIL COMMUN, P120."
