Item type|Authors|quartil|Editors|Title|Journal|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|Popa S,Soto-Acosta P,Martinez-Conesa I|Q1||Antecedents, moderators, and outcomes of innovation climate and open innovation: An empirical study in SMEs|Technological Forecasting and Social Change|2017|118||134-142|Elsevier Inc.||2017|||0040-1625|http://dx.doi.org/10.1016/j.techfore.2017.02.014|10.1016/j.techfore.2017.02.014|In recent years, open innovation (OI) has attracted much attention in innovation management research. Although showing signs of advance, most of the existing literature still relies, to a great extent, on case studies and conceptual frameworks, with little empirical research in the specific context of small and medium enterprises (SMEs). This paper adds to the literature by empirically assessing the effects of organizational antecedents and innovation climate on OI as well as its consequences on firm performance in SMEs. In addition, the moderating roles of environmental dynamisms and competitiveness in the relationships between innovation climate and inbound and outbound OI are analyzed. To achieve these goals, this paper develops an integrative research model, which analyses the network relations using covariance-based structural equation modeling (SEM) on a data set of 429 Spanish SMEs. Results revealed that organizational factors such as commitment-based human resources practices have a positive influence on innovation climate and that innovation climate contributes to both inbound and outbound OI. Another important finding is that contingent factors such as environmental dynamism strengthen the positive effect of innovation climate on outbound OI. The main conclusions of this research can be valuable to SMEs that implement or intend to implement OI. © 2017 Elsevier Inc.|Moderators, Conceptual frameworks; Empirical research; Environmental dynamisms; Innovation management; Open innovation; Organizational factors; Small and medium enterprise; Structural equation modeling, Innovation, competitiveness; human resource; industrial performance; innovation; organizational framework; small and medium-sized enterprise|cited By 221|Department of Business Administration and Management, Catholic University of Murcia, Campus de los Jerónimos, Guadalupe, Murcia 30107, Spain; Department of Management & Finance, University of Murcia, Campus de Espinardo, Espinardo, Murcia 30100, Spain; Department of Financial Economics and Accounting, University of Murcia, Campus de Espinardo, Espinardo, Murcia 30100, Spain|English|
Journal Article|Singh RK,Garg SK,Deshmukh SG|Q1||The competitiveness of SMEs in a globalized economy: Observations from China and India|Management Research Review|2010|33|1|54-65|||2010|||2040-8269|http://dx.doi.org/10.1108/01409171011011562|10.1108/01409171011011562|Purpose - The purpose of this paper is to analyze different challenges for small and medium enterprises (SMEs) in India and China following globalization. It aims to describe the status of these enterprises and examine the roles of government policies and strategy development for competitiveness. Design/methodology/approach - A questionnaire-based survey was conducted, which produced 241 valid responses. Of these, 80 percent were from SMEs. Statistical analysis of the data acquired from survey used a reliability test, t-test and correlation analysis. A relevant literature review pinpoints salient issues in the environment of the SMEs. Findings - The governments of China and India have launched various promotional schemes for SMEs. Various challenges for SMEs in these countries are similar; however, the rate of growth is different. Indian SMEs give more attention to supplier development, total productive maintenance and the organization's culture. Chinese SMEs pay more attention to relationship management and cost reduction. Human resource development and quality improvement are also highly correlated with competitiveness. Research limitations/implications - SMEs should focus on developing their human resources and improving product quality. This effort will help SMEs retain human capital as well as increase the demand for their products. Similar studies could explore Chinese SMEs in-depth for additional comparisons. Originality/value - This paper will help SMEs in shaping their competitive strategies and policy formulation by respective governments. © Emerald Group Publishing Limited.||cited By 152|Mechanical Engineering Department, Delhi Technological University, Delhi, India; Mechanical Engineering Department, Indian Institute of Technology, Delhi, India|English|
Journal Article|Sheehan M,Garavan TN,Carbery R|Q2||Innovation and human resource development (HRD)|European Journal of Training and Development|2013|38|1-2|2-14|||2013|||2046-9012|http://dx.doi.org/10.1108/EJTD-11-2013-0128|10.1108/EJTD-11-2013-0128|Purpose – The purpose of this paper is to provide a prologue to the issue of human resource development (HRD) and innovation which has been under-researched despite the widespread recognition of the critical role of innovation for sustained national, regional and organisational competitiveness. Design/methodology/approach – The paper provides an overview of the evolution of innovation within the economic and management literatures. It then examines previous work on human resource management (HRM), HRD and innovation. The paper then provides a brief overview of the articles for this issue focussing on HRD and innovation. Findings – HRD interventions can positively contribute to organisation's innovation activities. HRD is also found to positively influence employee engagement, leadership, manager's motivation to learn, the promotion of a learning culture, and social capital development all of which are positively associated with innovation. Informal HRD and access to mentors and coaches is shown to be critical for innovation in SMEs. Originality/value – This paper provides an introduction to this special issue on HRD and innovation. It shows that this has been an under- researched area and it also emphasises that HRD and its relationship with innovation must be analysed within the context of the organisation's culture, its context, and its leadership capabilities. The four conceptual contributions provide a rich road map for future research on HRD and innovation. © 2013, Emerald Group Publishing Limited||cited By 51|National University of Ireland, Galway, Ireland; Kemmy Business School, University of Limerick, Limerick, Ireland|English|
Journal Article|Turskis Z,Dzitac S,Stankiuviene A,Šukys R|Q3||A fuzzy group decision-making model for determining the most influential persons in the sustainable prevention of accidents in the construction SMEs|International Journal of Computers, Communications and Control|2019|14|1|90-106|Agora University||2019|||1841-9836|http://dx.doi.org/10.15837/ijccc.2019.1.3364|10.15837/ijccc.2019.1.3364|Safety in the sustainable construction is a game with uncertain reality, with human's life. Managers in power, involved in the construction project life cycle, create rules for the game and are the main players. The project's success can be perceived differently by stakeholders. A company's competitiveness, successful implementation of the projects and effective safety management depends on the strategic allocation of its human resources in order to select a proper project team in alignment with employee capabilities. This requires detailed factors reflecting their role (in line with their interests and attitudes) and knowing which of them has a decisive influence on the successful implementation of the project. The real data describing key factors in this concept can be provided as uncertain conditions. This work presents a novel integrated modified fuzzy group decision- making approach to select and rank the most influential persons ensuring the sustainable prevention of accidents at work in the small and medium-sized construction enterprises. This model includes the Delphi method and fuzzy extensions of Eckenrode's criteria rating method. The proposed model could be expanded in order to select the most suitable individuals for sustainable management of safety and, moreover, for the effective implementation of safety and health measures. © 2019.||cited By 40|Faculty of Civil Engineering, Vilnius Gediminas Technical University, Sauletekio al. 11, Vilnius, 10223, Lithuania; University of Oradea, Universitatii, 1, Oradea, 410087, Romania|English|
Journal Article|Gunasekaran A,Marri HB,Mcgaughey R,Grieve RJ|Q1||Implications of organization and human behaviour on the implementation of CIM in SMEs: An empirical analysis|International Journal of Computer Integrated Manufacturing|2001|14|2|175-185|||2001|||0951-192X|http://dx.doi.org/10.1080/09511920150216297|10.1080/09511920150216297|Computer integrated manufacturing (CIM) requires cross-functional co-operation, and involvement of employees in product and process development. A successful CIM initiative in small and medium enterprises (SMEs) must have top management involvement and commitment and a CIM compatible organizational infrastructure which includes requisite skills, appropriate training and education, and adequate incentives and rewards. Top management must commit the resources necessary to acquire needed technology and bring about any necessary changes in the organizational infrastructure. Top management must likewise be willing to accept the long-term consequences of their decisions. SMEs play an increasingly important role in the competitiveness of many industries in the areas of product and process innovation, flexibility, and in the development of innovative management methods, organizational conventions, and human resource practices. One of the ways that SMEs can achieve a competitive advantage in manufacturing is through the implementation of CIM. To promote a better understanding of organizational issues pertaining to the implementation of CIM in SMEs, a framework is proposed for use in examining and explaining the organizational ramifications of CIM. A literature review and an empirical study provide the foundation for the proposed framework.||cited By 39|Department of Management, University of Massachusetts, North Dartmouth, MA 02747-2300, United States; Department of Systems Engineering, Brunel University, Uxbridge, Middlesex UB8 3PH, United Kingdom; Department of Business and Economics, Arkansas Technological University, Russellville, AR 72801, United States|English|
Journal Article|Marri HB,Gunasekaran A,Grieve RJ|Q1||An investigation into the implementation of computer integrated manufacturing in small and medium enterprises|International Journal of Advanced Manufacturing Technology|1998|14|12|935-942|Springer London||1998|||0268-3768|http://dx.doi.org/10.1007/BF01179084|10.1007/BF01179084|Small and medium enterprises (SMEs) play an increasingly important role in all aspects of competitiveness e.g. for both products and production techniques, but also management methods, the organisation of the firm and human resource training. Obtaining and, just as importantly, mastering scientific and technological information is therefore essential to competitiveness of all SMEs. During the last two decades, several factors have forced global manufacturers to make dramatic changes in their products, markets, and manufacturing strategies. One of the ways by which SMEs can achieve a competitive advantage in manufacturing is through the implementation of computer integrated manufacturing (CIM). Realising the importance of SMEs, an attempt has been made in this paper to study the implementation of CIM in SMEs. First, the characteristics of CIM have been studied with reference to the application and infrastructure of SMEs. Secondly, a framework has been presented for the implementation of CIM in SMEs with the help of a conceptual model. Finally, future research directions on CIM in SMEs are indicated.|Competition; Mathematical models; Process engineering; Production engineering; Systems engineering, Small and medium enterprises (SME), Computer integrated manufacturing|cited By 38|Department of Manufacturing, Brunel University, Uxbridge, Middlesex, United Kingdom; Department of Manufacturing, Brunel University, Uxbridge, Middlesex UB8 3PH, United Kingdom|English|
Journal Article|Lechuga Sancho MP,Martínez-Martínez D,Larran Jorge M,Herrera Madueño J|Q1||Understanding the link between socially responsible human resource management and competitive performance in SMEs|Personnel Review|2018|47|6|1215-1247|Emerald Group Holdings Ltd.||2018|||0048-3486|http://dx.doi.org/10.1108/PR-05-2017-0165|10.1108/PR-05-2017-0165|Purpose: Regardless of the noteworthy growth in research and practice associating corporate social responsibility (CSR) with human resource management, little has been written in regard to one major dimension of CSR in small- and medium-sized enterprises (SMEs), as CSR policies and practices are directed toward employees. The purpose of this paper is to develop and test a conceptual framework connecting socially responsible human resource management (SRHRM) to competitive performance that fits small business. Design/methodology/approach: In order to get empirical evidence, structural equation modeling technique was applied on the data from 481 Spanish SMEs. Findings: Results confirm both the direct contribution of SRHRM to business competitiveness and the multiple effects resulting from including two variables of additional interest for the relationship under study: employee’s commitment and relational marketing. Practical implications: One of the main research limitations is that the paper only reflects the perceptions of owners/managers of SMEs. Although it was believed that the respondents give reliable and accurate information about the way their firms are involved in CSR practices, there is a possibility that they might provide incorrect or incomplete information. Originality/value: The relationships proposed have never been studied before in context of SMEs. This is a worthwhile endeavor, which makes an empirical contribution. © 2018, Emerald Publishing Limited.||cited By 36|Department of Business Organization, Cadiz University, Jerez de la Frontera, Spain; Department of Financial Economics and Operations Management, University of Seville, Seville, Spain; Department of Financial Economics and Accounting, Cadiz University, Cadiz, Spain|English|
Journal Article|Peña-Vinces JC,Cepeda-Carrión G,Chin WW|Q1||Effect of ITC on the international competitiveness of firms|Management Decision|2012|50|6|1045-1061|||2012|||0025-1747|http://dx.doi.org/10.1108/00251741211238328|10.1108/00251741211238328|Purpose: This paper's aim is to evaluate the effect of the use of information technology and communications (ITC) on the international competitiveness of firms in developing countries. The study also seeks to evaluate other factors that allow or condition the use of ITC such as: human resources, collaboration of the industrial sector, and local environment. Design/methodology/approach: These effects are examined through an empirical research of 100 small to medium-sized enterprises (SMEs) from a developing country - Peru. Findings: SMEs from developing countries follow an isomorphic approach. This is because they tend to imitate or copy the better practices from developed countries. The results have shown that ITCs have a positive effect on the international competitiveness of firms. Research limitations/implications: A limitation is the cross-sectional character of this research. Practical implications: Firms use ITC to manage their inventory, for the communication between manufacturers and offices, and suppliers, for bill payments, and for the management of sales and marketing, and for the management of their networks. Originality/value: According to the literature reviewed, this study is one of the pioneers in contrasting empirically whether the use of ITC contributes positively to the international competitiveness of firms in the developing countries of Latin America. © Emerald Group Publishing Limited.||cited By 33|Department of Business Management and Marketing, University of Seville, Seville, Spain; Department of Decision and Information Sciences, C.T. Bauer College of Business, University of Houston, Houston, TX, United States|English|
Journal Article|Sigh RK,Garg SK,Deshmukh SG|Q3||Challeges and strategies for competitiveness of SMEs: A case study in the Indian context|International Journal of Services and Operations Management|2008|4|2|181-200|Inderscience Publishers||2008|||1744-2370|http://dx.doi.org/10.1504/IJSOM.2008.016610|10.1504/IJSOM.2008.016610|Small and Medium Enterprises (SMEs) are considered engines for economic growth, not only in India but all over the world. They account for 80% of global economic growth. Market conditions have dramatically changed for Indian SMEs after economic reforms. SMEs are regularly facing new challenges in terms of cost, quality, delivery, flexibility and human resource development for their survival and growth. In the context of a dynamic market scenario, they have to formulate their strategies for developing various capabilities and competencies to satisfy their domestic as well as global customers. For long-term competitiveness, SMEs have to focus on all aspects of organisational functions such as assets, strategy development, processes and their performance. This study tries to illustrate this concept with the help of a case study. It is observed that to be competitive, SMEs should have clarity of mission and should proactively develop their human resources and competencies to meet fast changing customer requirements. Copyright © 2008 Inderscience Enterprises Ltd.||cited By 32|Mechanical EngineeringDepartment, Delhi College of Engineering, Delhi-110042, India; Mechanical Engineering Department, Indian Institute of Technology, Delhi-110016, India|English|
Journal Article|Raymond L,St-Pierre J,Uwizeyemungu S,Le Dinh T|Q1||Internationalization capabilities of SMEs: A comparative study of the manufacturing and industrial service sectors|Journal of International Entrepreneurship|2014|12|3|230-253|Springer Science and Business Media, LLC||2014|||1570-7385|http://dx.doi.org/10.1007/s10843-014-0123-7|10.1007/s10843-014-0123-7|Nowadays, the global economy requires developed countries to undergo industrial restructuring. In this context, industrial small- and medium-sized enterprises (SMEs) need to collaborate with the service sector to enhance their competitiveness and strategic capabilities. Indeed, industrial service SMEs have been the object of particular attention from governments since these enterprises have become a key element for manufacturing and innovation networks in developed countries. However, these firms, as well as the manufacturing SMEs they serve, now face the challenge to internationalize. This paper addresses the of the strategic capabilities required by SMEs in general, and manufacturing and industrial service SMEs in particular, to internationalize, as well as the effect of these capabilities on their export performance. These strategic capabilities are presented in a research model, which relates human resources (HR), product development capabilities and market development capabilities to export performance. In testing this model with a sample of 347 Canadian and French SMEs, similarities and differences between the two types of SMEs are highlighted. © 2014, Springer Science+Business Media New York.||cited By 29|Institut de recherche sur les PME, Université du Québec à Trois-Rivières, 3351, boul. des Forges C.P. 500, Trois-Rivières, QC G9A 5H7, Canada|English|
