entry;count;
author_keywords;2575;
keywords-plus;2575;
keywords;2575;
note;1786;
language;2575;
publisher;2434;
url;1147;
references;1133;
source;1147;
abstract;2570;
document_type;1147;
abbrev_source_title;1146;
issn;1821;
affiliation;2546;
correspondence_address1;740;
doi;1695;
year;2552;
pages;2121;
number;1049;
volume;1517;
journal;1909;
title;2575;
author;2575;
ENTRYTYPE;2575;
ID;2575;
isbn;1155;
art_number;240;
editor;881;
funding_details;8;
sponsors;267;
coden;43;
pubmed_id;14;
page_count;6;
address;1549;
doc-delivery-number;1428;
eissn;573;
web-of-science-categories;1427;
affiliations;1264;
usage-count-since-2013;1428;
month;545;
times-cited;1428;
journal-iso;763;
cited-references;1397;
number-of-cited-references;1428;
unique-id;1428;
da;1428;
research-areas;1427;
type;1428;
web-of-science-index;1428;
usage-count-last-180-days;1428;
author-email;1125;
series;459;
booktitle;666;
researcherid-numbers;756;
orcid-numbers;839;
earlyaccessdate;110;
oa;474;
article-number;177;
funding-acknowledgement;313;
funding-text;311;
book-group-author;88;
book-author;19;
