keywords;count;
MEDICAL EDUCATION;37;
RESIDENCY;5;
PAEDIATRICS;1;
SPACED REPETITION;1;
LEARNING;25;
SCHOOL PHYSICAL ACTIVITY PROMOTION;1;
SERVICE-LEARNING;5;
COMMUNITY-BASEDPARTICIPATORY RESEARCH;1;
COMMUNITIES OF PRACTICE;3;
PHYSICAL EDUCATIONTEACHERS;1;
COMPETENCY-BASED CURRICULUM;1;
CURRICULUM;49;
PERFORMANCE-BASED ASSESSMENT;1;
PHARMACY EDUCATION;10;
SIMULATED PATIENTS;2;
STUDENTS' PERCEPTION;2;
COMPETENCE;2;
KNOWLEDGE;9;
PATIENT SIMULATION;5;
TEAM-BASED LEARNING;12;
TEAMWORK;6;
HETEROGENEOUS INFORMATION NETWORK;1;
REPRESENTATION LEARNING;1;
MIDWIFERY;2;
INDIGENOUS STUDENTS;2;
ABORIGINAL;3;
HIGHER EDUCATION;22;
ACADEMICSUCCESS;1;
SUPPORT;2;
CLINICAL EDUCATION;6;
VETERINARY CURRICULUM;1;
REVISION;1;
RENEWAL;1;
REFORM;1;
MACHINE LEARNING;48;
SURGICAL TIME PREDICTION;1;
LINEAR REGRESSION;3;
SUPPORTVECTOR MACHINE;1;
REGRESSION TREES;1;
ASSEMBLY METHODS;1;
OCCUPATIONAL THERAPY;4;
EDUCATION;100;
ESCAPE ROOM;2;
GAMIFICATION;18;
STUDENTS;115;
COLLABORATIVE;1;
MOLD DESIGN PROGRAM;1;
CDIO;1;
INTEGRATED CURRICULUM;1;
PROGRAM MODULE;1;
INDUSTRY 4.0;2;
CONCURRENT SYSTEM;1;
ENGINEERING EDUCATION;55;
CONTINUING EDUCATION;10;
PERFORMANCE IMPROVEMENT;1;
INTERPROFESSIONALTRAINING;1;
TOBACCO CESSATION;1;
INTENSIVE CESSATION COUNSELING;1;
ONLINETRAINING;1;
COMMUNITY-BASED MEDICAL EDUCATION;1;
UNDERGRADUATE MEDICAL EDUCATION;10;
INDIA;2;
COMMUNICATION;11;
SEMANTICS;6;
SURGERY;15;
PATIENT SAFETY;10;
PRICING;5;
TARIFFS;2;
LOAD MODELING;7;
GAMES;10;
ENERGY CONSUMPTION;6;
CONVERGENCE;4;
REAL-TIME SYSTEMS;4;
DEMAND RESPONSE;6;
DEMAND RESPONSE AGGREGATOR;1;
