Item type|ENTRYTYPE|ID|Author|Title|Journal|quartil|hindex|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN alt|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|article|1|Forbes DP,Milliken FJ|Cognition and corporate governance: Understanding boards of directors as strategic decision-making groups|Academy of Management Review|Q1|293|1999|24|3|489-505|Academy of Management||1999|||0363-7425|http://dx.doi.org/10.5465/AMR.1999.2202133|10.5465/AMR.1999.2202133|Recent research developments underscore the need for research on the processes that link board demography with firm performance. In this article we develop a model of board processes by integrating the literature on boards of directors with the literature on group dynamics and workgroup effectiveness. The resulting model illuminates the complexity of board dynamics and paves the way for future empirical research that expands and refines our understanding of what makes boards effective.||cited By 1258||English|
Journal Article|article|2|Amran A,Lee SP,Devi SS|The influence of governance structure and strategic corporate social responsibility toward sustainability reporting quality|Business Strategy and the Environment|Q1|131|2014|23|4|217-235|John Wiley and Sons Ltd||2014|||0964-4733|http://dx.doi.org/10.1002/bse.1767|10.1002/bse.1767|Increased business complexities coupled with enhanced global transformation have propelled corporations to behave as responsible citizens to drive the sustainability agenda. Many corporations incorporate their affirmative commitment to sustainable business practices into their corporate identities and give evidence for this in their sustainability reports. This paper examines the role of the board of directors in sustainability reporting quality (SRQ) in the Asia-Pacific region. Based on a cross-sectional study of 113 companies from 12 countries in the region, we find that the SRQ in the region leaves much room for improvement. However, we find that the institutionalization of the concept of corporate social responsibility (CSR) in an organization provides a sound foundation for enhancing SRQ. We find that the value of CSR anchored in the vision and/ or mission statement and strategic alliances fostered with non-governmental organizations are positively associated with SRQ. This study contributes to strengthening the understanding, promoting discussion on the state of sustainability reporting in the Asia-Pacific context and laying a solid foundation for more aggressive efforts to enhance SRQ. The study identifies the significant drivers currently associated with SRQ. The weak role of the board of directors in upholding the sustainable development agenda through the reporting process is highlighted. Copyright © 2013 John Wiley & Sons, Ltd and ERP Environment. © 2013 John Wiley & Sons, Ltd and ERP Environment.|business; corporate strategy; governance approach; institutional framework; nongovernmental organization; strategic approach; sustainability, Pacific Ocean; Pacific Rim|cited By 320|Universiti Sains Malaysia, School of Management, Minden Penang, Malaysia; University of Malaya, Faculty of Business and Accountancy, Kuala Lumpur, Malaysia|English|
Journal Article|article|3|Gordon LA,Loeb MP,Tseng CY|Enterprise risk management and firm performance: A contingency perspective|Journal of Accounting and Public Policy|Q1|86|2009|28|4|301-327|||2009|||0278-4254|http://dx.doi.org/10.1016/j.jaccpubpol.2009.06.006|10.1016/j.jaccpubpol.2009.06.006|In recent years, a paradigm shift has occurred regarding the way organizations view risk management. Instead of looking at risk management from a silo-based perspective, the trend is to take a holistic view of risk management. This holistic approach toward managing an organization's risk is commonly referred to as enterprise risk management (ERM). Indeed, there is growing support for the general argument that organizations will improve their performance by employing the ERM concept. The basic argument presented in this paper is that the relation between ERM and firm performance is contingent upon the appropriate match between ERM and the following five factors affecting a firm: environmental uncertainty, industry competition, firm size, firm complexity, and board of directors' monitoring. Based on a sample of 112 US firms that disclose the implementation of their ERM activities within their 10Ks and 10Qs filed with the US Securities and Exchange Commission, empirical evidence confirms the above basic argument. The implication of these findings is that firms should consider the implementation of an ERM system in conjunction with contextual variables surrounding the firm. © 2009 Elsevier Inc. All rights reserved.||cited By 316|Robert H. Smith School of Business, University of Maryland, Van Munching Hall, College Park, MD 20742-1815, United States; Department of Accounting, National Taiwan University, Taipei, Taiwan|English|
Journal Article|article|4|Kole SR|The complexity of compensation contracts|Journal of Financial Economics|Q1|289|1997|43|1|79-104|Elsevier||1997|||0304-405X|http://dx.doi.org/10.1016/S0304-405X(96)00888-4|10.1016/S0304-405X(96)00888-4|Management compensation is often categorized as either sensitive or insensitive to firm performance. This one-dimensional treatment ignores the variation in the types and terms of compensation contracts. Through a cross-sectional examination of shareholder-authorized compensation arrangements, this paper demonstrates that the terms of stock option and restricted stock plans, and the flexibility afforded the board of directors in negotiating with managers, vary systematically with the characteristics of the assets being managed. This variation in compensation contracting challenges theorists to incorporate the richness of management contracts into models of incentive pay.||cited By 203|William E. Simon Grad. Sch. of B., University of Rochester, Rochester, NY 14627, United States|English|
Journal Article|article|5|Zaman M,Hudaib M,Haniffa R|Corporate governance quality, audit fees and non- audit services fees|Journal of Business Finance and Accounting|Q1|84|2011|38|1-2|165-197|||2011|||0306-686X|http://dx.doi.org/10.1111/j.1468-5957.2010.02224.x|10.1111/j.1468-5957.2010.02224.x|This paper extends prior research on the relationship between governance quality and auditor remuneration. We examine the influence of audit committee effectiveness (ACE), a proxy for governance quality, on audit fees (AF) and non-audit services fees (NASF) using a new composite measure comprising audit committee independence, expertise, diligence and size. We find that after controlling for board of director characteristics, there is a significant positive association between ACE and AF only for larger clients. Our results indicate that effective audit committees undertake more monitoring which results in wider audit scope and higher audit fees. Contrary to our expectations, we find the association between ACE and NASF to be positive and significant, especially for larger clients. This suggests that larger clients are more likely to purchase non-audit services (NAS) even in the presence of effective audit committees probably due to the complexity of their activities. Overall, our findings support regulatory initiatives aimed at improving corporate governance quality. © 2011 Blackwell Publishing Ltd.||cited By 172|University of Manchester, United Kingdom; University of Nottingham, United Kingdom; University of Hull, United Kingdom|English|
Journal Article|article|6|Nicholson GJ,Kiel GC|A framework for diagnosing board effectiveness|Corporate Governance: An International Review|Q1|99|2004|12|4|442-460|Blackwell Publishing Ltd||2004|||0964-8410|http://dx.doi.org/10.1111/j.1467-8683.2004.00386.x|10.1111/j.1467-8683.2004.00386.x|Pressure on boards to improve corporate performance and management oversight has led to a series of inquiries and reports advocating governance reform. These reports largely reflect an agency perspective of governance and seek to ensure greater board independence from and control of management. While board independence is important to good governance, we contend that frameworks, models and advice centred on one element of governance ignore the complexity of how boards work. We develop a holistic board framework based upon the concept of board intellectual capital to address this concern. Our framework proposes a series of inputs (e.g. company history, company constitution, legal environment) that lead to a particular mix of board intellectual capital. We contend that the balance of the different elements of board intellectual capital will lead to a series of board behaviours. Further, the board needs to mobilise its intellectual capital to carry out a series of roles. The exact nature of these roles will depend on the company's requirements. Thus, the governance outputs of organisational performance, board effectiveness and director effectiveness will depend on the match between the board's intellectual capital and the roles required of it. We conclude by demonstrating the benefits of this framework as a diagnostic tool. We outline how boards wishing to improve their governance systems can diagnose common governance problems by evaluating their own board's capabilities in relation to the different components of the framework.||cited By 126|University of Queensland, PO Box 2140, Milton, QLD 4064, Australia; Department of Management, University of Queensland, Milton, QLD, Australia; Competitive Dynamics Pty Ltd., Australia|English|
Journal Article|article|7|Subramaniam N,Mcmanus L,Zhang J|Corporate governance, firm characteristics and risk management committee formation in Australian companies|Managerial Auditing Journal|Q1|67|2009|24|4|316-339|||2009|||0268-6902|http://dx.doi.org/10.1108/02686900910948170|10.1108/02686900910948170|Purpose The purpose of this paper is to examine how a risk management committee (RMC), as a newly evolving sub?committee of the board of directors, functions as a key governance support mechanism in the oversight an organisation's risk management strategies, policies and processes. However, empirical evidence on the factors associated with the existence and the type of RMCs remains scant. Design/methodology/approach Using an agency theory perspective, this study investigates the association between board factors such as proportion of non?executive directors, Chief Executive Officer duality, and board size; as well as, other firm?related factors (e.g. auditor type, industry, leverage, and complexity), and the existence of a RMC, and the type of RMC (namely, a separate RMC versus one that is combined with the audit committee). Data was collected from the annual reports of the top 300 Australian Stock Exchange (ASX)?listed companies. Findings The results, based on logistic regression analyses, indicate that RMCs tend to exist in companies with an independent board chairman and larger boards. Further, the results also indicate that in comparison to companies with a combined RMC and audit committee, those with a separate RMC are more likely to have larger boards, higher financial reporting risk and lower organisational complexity. Research limitations/implications Data limited to top 200 top ASX?listed companies, thus restricting generalisability of the results. Originality/value The findings of this study provide additional information on the use and design of RMCs in a voluntary setting. © 2009, Emerald Group Publishing Limited||cited By 97|Department of Accounting, Economics and Finance, Deakin University, Burwood, Australia; Griffith Business School, Griffith University, Gold Coast, Australia|English|
Journal Article|article|8|Brown WA,Guo C|Exploring the key roles for nonprofit boards|Nonprofit and Voluntary Sector Quarterly|Q1|96|2010|39|3|536-546|SAGE Publications Inc.||2010|||0899-7640|http://dx.doi.org/10.1177/0899764009334588|10.1177/0899764009334588|This research note explores roles for nonprofit boards as described by 121 community foundation executives. Through content analysis, a synthesized list of 13 different roles were identified. The study considered institutional and organizational attributes such as environmental uncertainty and organizational complexity to explore the contingencies under which certain board roles become more prevalent. The roles were also matched to existing governance theories. The list not only reflects activities recognized by different theoretical models but also suggests conflicts in the way strategy is conceptualized and articulated as a governance task. © 2010 SAGE Publications.||cited By 90|Texas A and M University, United States; University of Georgia, United States|English|
Journal Article|article|11|Markarian G,Parbonetti A|Firm complexity and board of director composition|Corporate Governance: An International Review|Q1|99|2007|15|6|1224-1243|Blackwell Publishing Ltd||2007|||0964-8410|http://dx.doi.org/10.1111/j.1467-8683.2007.00643.x|10.1111/j.1467-8683.2007.00643.x|This paper examines the relationship between firm complexity and board of director composition. Utilising the board typology of Baysinger and Zardkoohi (1986), we classify board members either as insiders, business experts, support specialists, or community influentials, and examine board composition in relation to firm internal and external complexity. Internal complexity refers to the sophistication of internal work processes (proxied by firm R&D expenditures, and the amount of invested capital), while external complexity relates to the external competitive structure (proxied by the number of business and geographic segments, and industrial leadership). Utilising a random sample of 150 firms drawn from six industries over the 2003-2005 time period, and after classifying 4,408 directors to one of our board categories, multivariate results confirm conjectures that complexity is related to the specific capabilities that each board member brings to the firm. We find that externally complex firms substitute community influentials for insiders. Additionally, internally complex firms have lower levels of community influentials, which are substituted by insiders and support specialists. This study adds to a small but growing literature that examines the economic determinants of board structure (Boone et al., 2007; Coles et al., 2005; Gillan et al., 2003; Linck et al., 2005), by providing a unique lens in examining board characteristics that goes beyond the traditional insider/independent classification. © 2007 Blackwell Publishing Ltd.||cited By 55|Dipartimento di Scienze Economiche, via Del Santo 33, 35121 Padova, Italy; Instituto de Empresa, Business School, Madrid, Spain; University of Padova, Padova, Italy|English|
Journal Article|article|13|Cuadrado-Ballesteros B,Martínez-Ferrero J,García-Sánchez IM|Board Structure to Enhance Social Responsibility Development: A Qualitative Comparative Analysis of US Companies|Corporate Social Responsibility and Environmental Management|Q1|96|2017|24|6|524-542|John Wiley and Sons Ltd||2017|||1535-3958|http://dx.doi.org/10.1002/csr.1425|10.1002/csr.1425|This study adds clarity to inconclusive results in previous literature about the link between board characteristics and the level of social responsibility performance by using fuzzy set qualitative comparative analysis. Specifically, we propose a new holistic framework based on the complexity theory. From a sample of 471 non- financial companies from the USA for the period 2008–2010, our findings support the four tenets of complexity theory: equifinality, complexity, asymmetry, and causal asymmetry. More concretely, they suggest that CSR performance depends on a complex configuration of some board characteristics, such as size, independency, diversity and activity, and other corporate attributes (i.e., company size, leverage, and growth opportunities). These factors play a key role as the ingredients of the recipe and, in a proper combination, contribute to obtaining high levels of social responsibility performance. Copyright © 2017 John Wiley & Sons, Ltd and ERP Environment. Copyright © 2017 John Wiley & Sons, Ltd and ERP Environment||cited By 52|University of Salamanca, Administration and Business Economics, Multidisciplinary Institute for Enterprise (IME), Campus Unamuno, FES, Salamanca, 37007, Spain|English|
