ENTRYTYPE|ID|Item type|Author|Editors|quartil|hindex|Title|Journal|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN alt|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
article|3|Journal Article|Sheehan M,Garavan TN,Carbery R||Q2|65|Innovation and human resource development (HRD)|European Journal of Training and Development|2013|38|1-2|2-14|||2013|||2046-9012|http://dx.doi.org/10.1108/EJTD-11-2013-0128|10.1108/EJTD-11-2013-0128|Purpose – The purpose of this paper is to provide a prologue to the issue of human resource development (HRD) and innovation which has been under-researched despite the widespread recognition of the critical role of innovation for sustained national, regional and organisational competitiveness. Design/methodology/approach – The paper provides an overview of the evolution of innovation within the economic and management literatures. It then examines previous work on human resource management (HRM), HRD and innovation. The paper then provides a brief overview of the articles for this issue focussing on HRD and innovation. Findings – HRD interventions can positively contribute to organisation's innovation activities. HRD is also found to positively influence employee engagement, leadership, manager's motivation to learn, the promotion of a learning culture, and social capital development all of which are positively associated with innovation. Informal HRD and access to mentors and coaches is shown to be critical for innovation in SMEs. Originality/value – This paper provides an introduction to this special issue on HRD and innovation. It shows that this has been an under- researched area and it also emphasises that HRD and its relationship with innovation must be analysed within the context of the organisation's culture, its context, and its leadership capabilities. The four conceptual contributions provide a rich road map for future research on HRD and innovation. © 2013, Emerald Group Publishing Limited||cited By 51|National University of Ireland, Galway, Ireland; Kemmy Business School, University of Limerick, Limerick, Ireland|English|
article|14|Journal Article|Tam S,Gray DE||Q2|65|Organisational learning and the organisational life cycle: The differential aspects of an integrated relationship in SMEs|European Journal of Training and Development|2016|40|1|2-20|Emerald Group Publishing Ltd.||2016|||2046-9012|http://dx.doi.org/10.1108/EJTD-07-2015-0052|10.1108/EJTD-07-2015-0052|Purpose – The purpose of this study is to relate the practice of organisational learning in small- and medium-sized enterprises (SMEs) to the organisational life cycle (OLC), contextualising the differential aspects of an integrated relationship between them. Design/methodology/approach – It is a mixed-method study with two consecutive phases. In Phase I, 30 Hong Kong SMEs identified through theoretical sampling were classified into three life-cycle stages – inception, high growth and maturity. In Phase II, their employees’ learning practices (grouped by learning levels) were statistically compared using the analysis of variance and then followed up for confirmation with qualitative semi-structured interviews. Findings – This study uniquely suggests the nature of a relationship between SME organisational learning and the OLC. Empirical results show that three of the four learning levels (individual, group, organisational and inter-organisational) practised in SMEs are varied in importance between life-cycle stages. Research limitations/implications – Comparative studies are encouraged in other parts of the world to strengthen the findings – with either SMEs or large organisations. Practical implications – The study informs SME owner/managers about what is important for employee learning at different business stages so that appropriate learning strategies or human resource development policies can be formulated in a timely fashion to promote competitiveness. Originality/value – It is among the first studies to connect SME learning with organisational growth. The relationships found serve as a sound foundation for further empirical investigations. © 2016, Emerald Group Publishing Limited.||cited By 24|Fort Hays State University, Hays, KS, United States; University of Greenwich, London, United Kingdom|English|
article|15|Journal Article|Yang T,Xun J,He X||Q2|78|British SMEs’ e-commerce technological investments and firm performance: an RBV perspective|Technology Analysis and Strategic Management|2015|27|5|586-603|Routledge||2015|||0953-7325|http://dx.doi.org/10.1080/09537325.2015.1019453|10.1080/09537325.2015.1019453|Despite the heated debate on the Information Technology (IT) investment–performance paradox, the resource-based view (RBV) has received relatively little attention as an approach to explain such phenomena, particularly in the small and medium enterprise (SME) and e-commerce context. This study draws on the RBV perspective to empirically examine the association between SME e-commerce investments and firm performance. We collected firm-level data from 430 British SMEs across 16 industry sectors. Results demonstrate that RBV provides strong theoretical support, that is, business resources, human resources, and external resources (i.e. e-commerce readiness) strongly contribute to enhanced firm performance. The sophistication of SMEs' e-commerce websites contribute to firm performance, but those firms' capital investments in IT and e-commerce training per se are not significant performance drivers. Our findings suggest that UK SMEs can and do differentiate themselves on the basis of their e-commerce capability, which is created by the synergistic combination of e-commerce resources with other organisational resources and capabilities. © 2015, © 2015 Taylor & Francis.|competitiveness; electronic commerce; industrial competition; industrial performance; information and communication technology; investment; small and medium-sized enterprise, United Kingdom|cited By 23|School of Economics, Peking University, Haidian District, Beijing, 100871, China; Manchester Business School (Asia-based), China Centre, 1376 Nanjing West Road, Shanghai, 200040, China|English|
article|17|Journal Article|Singh RK,Garg SK,Deshmukh SG||Q2|34|Competency and performance analysis of Indian SMEs and large organizations an exploratory study|Competitiveness Review|2008|18|4|308-321|Emerald Group Publishing Ltd.||2008|||2051-3143|http://dx.doi.org/10.1108/10595420810920798|10.1108/10595420810920798|Purpose – Globalization of markets and increasing expectations of customers have created a turbulent environment for Indian organizations. The purpose of this paper is to study the development of various competencies by small-, medium- and large-scale Indian organizations under various pressures and constraints. Design/methodology/approach – For collecting data, a questionnaire-based survey were conducted. Out of 241 responding organizations, 193 were small- to medium-sized enterprises (SMEs) and 48 were larger organizations. Statistical analysis of data acquired from the survey are done by reliability test, t-test and correlation analysis. Findings – Introduction of new technology and identification of market changes have emerged as most important competencies because they are significantly correlated with subjective performance, objective performance and overall competitiveness of organization. Levels of focus given on competencies development by large organizations differ significantly from SMEs. Research limitations/implications – Findings of the study imply that SMEs should be as proactive as large organizations in making changes in terms of various processes such as development of competencies, human resources, upgrading of technology and awareness about market changes. For validating these results, further case studies are recommended. Originality/value – This study will help organizations in shaping their competitive strategies for developing competencies as per the market needs. ©Emerald Group Publishing Limited.||cited By 22|Mechanical Engineering Department, Delhi College of Engineering, New Delhi, India; Mechanical Engineering Department, Indian Institute of Technology, New Delhi, India|English|
article|20|Journal Article|Al-Tal MJ,Emeagwali OL||Q2|14|Knowledge-based HR Practices and Innovation in SMEs|Organizacija|2019|52|1|6-21|Sciendo||2019|||1318-5454|http://dx.doi.org/10.2478/orga-2019-0002|10.2478/orga-2019-0002|Background and purpose: Recent reviews of the human resource management (HRM) literature continue to position knowledge management and intellectual capital as the key determinants for competitiveness, productiveness and organizational performance. This article explores the nexus between knowledge-based HRM practices, knowledge management capacity, intellectual capital, product and process innovation in small and medium-sized enterprises (SMEs). Design/Methodology/Approach: Data were gleaned from 250 registered SMEs in Jordan using a simple random sampling technique. A covariance structural equation modelling (CB-SEM) was deployed in testing the proposed research model. Results: The findings cast light on the positive influence of knowledge-based HRM practice of SMEs on SMEs knowledge management capacity, intellectual capital and, product and process innovation. Similarly, knowledge management capacity SMEs exerts positive impact on their intellectual capital and, product and process innovation. Intellectual capital also emerges as a strong predictor for SMEs product and process innovation. Finally, a serial indirect effect (mediation) of knowledge management capacity and intellectual capital on the relationship between knowledge-based HRM practice of SMEs and, product and process innovation were revealed. Conclusion: Knowledge-based HRM practices and innovation have received vast amount of research attention, yet there is a lack of understanding on the process by which the former leads to the latter. Drawing on knowledge-based view (KBV) theory, this study is among the first attempts to unveil the structural process between knowledge-based HRM practices and innovation through knowledge management capacity and intellectual capital. This study theoretically validated the KBV framework in a non-Western context and demonstrate the importance of knowledge-based HRM practices for SMEs innovativeness. The findings do not only provide useful insights for managers and scholars, but also serve as the building block for future research. © 2019 Mohammad Jaber Yousef Al-Tal et al.||cited By 16|Girne American University, Faculty of Economics and Business, Business Management Department, Via Mersin 10, North-Cyprus, Turkey|English|
article|24|Journal Article|Monteiro B,Santos V,Reis I,Sampaio MC,Sousa B,Martinho F,Sousa MJ,Au-Yong-oliveira M||Q2|46|Employer branding applied to smes: A pioneering model proposal for attracting and retaining talent|Information (Switzerland)|2020|11|12|1-19|MDPI AG||2020|||2078-2489|http://dx.doi.org/10.3390/info11120574|10.3390/info11120574|Most business enterprises are small and medium-sized enterprises (SMEs), and many of them are without a human resource and recruitment department. Thus, one of the challenges that organizations currently face is to find a strategy to retain and attract talent. To overcome this difficulty, enterprises must invest in employer branding policies and be aware of the factors that differentiate them from others when attracting employees. This study aims to develop an employer branding model applicable to SMEs, to increase and enhance the attraction and retention of talents. An exploratory approach based on a quantitative perspective was adopted to develop an employer branding model applied to SMEs, with two major reference employer branding models and frameworks used as the main support. The model of employer branding was applied to SMEs regarding four dimensions, whereby essential questions are asked, namely (1) organizational culture (e.g., do employees have a job description aligned with the corporate culture?), (2) company strategy (e.g., what is the strategy if business volume decreases?), (3) company reputation (e.g., how do you perceive and treat negative feedback?), and (4) reward systems (e.g., do you feel that your employees are motivated intrinsically or extrinsically or both?), ordered by layers based on a logical sequence. The new proposed model is expected to serve as a useful strategic tool and as a basis for attracting, retaining and managing talent, specifically in the SMEs context. This new model provides a set of strategic and competitiveness benefits for SMEs, while contributing to making enterprises more profitable. The model also contributes to SMEs having a better image and reputation, enabling them to stand out from others in the war for talent. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.|Employment; Job analysis; Military photography; Personnel, Business enterprise; Company reputations; Corporate culture; Four dimensions; Job description; Logical sequences; Organizational cultures; Small and medium-sized enterprise, Competition|cited By 11|ISLA Santarém, Largo Cândido Reis, Santarém, 2000-24, Portugal; CiTUR, ESTM, Polytechnic of Leiria, Rua do Conhecimento, Peniche, 2520-641, Portugal; CEFAGE—UE, Universidade de Évora, Palácio do Vimioso (Gab. 224), Largo Marquês de Marialva 8, Évora, 7000-809, Portugal; IPCA—Polytechnic Institute of Cávado and Ave, Campus do IPCA—Lugar do Aldão, Vila Frescainha (São Martinho), CiTUR and UNIAG, Barcelos, 4750-810, Portugal; Business Research Unit, Instituto Universitário de Lisboa, Av. das Forças Armadas, Lisbon, 1649-026, Portugal; INESC TEC, GOVCOPP (UA), Department of Economics, Management and Industrial Engineering and Tourism (DEGEIT), University of Aveiro, Campus Universitário de Santiago, Aveiro, 3810-193, Portugal|English|
article|25|Journal Article|Alvarez I,Cilleruelo E,Zamanillo I||Q2|45|Is Formality in Knowledge Management Practices Related to the Size of Organizations? The Basque Case|Human Factors and Ergonomics In Manufacturing|2016|26|1|127-144|John Wiley and Sons Inc.||2016|||1090-8471|http://dx.doi.org/10.1002/hfm.20618|10.1002/hfm.20618|This article's objectives are to analyze the trends related to knowledge management process in small and medium-sized enterprises (SMEs) and to compare these findings with the conclusions of other research studies designed for SMEs and to examine the level of formality in knowledge management processes according to the size of enterprise. As well, to propose a model suited to the characteristics of the small business. The information is collected from 22 Basque Country SMEs grouped into industrial clusters, through a survey that is conducted to identify the use of practices related to knowledge management. Results show that informal practices figure prominently in the day to day of the SME and that the knowledge management process is not standardized but that is performed by the collaborative work between people, among others. Besides, the size of the SME acts as a factor in regard to the level of formality in knowledge management process. This study helps SME managers understand where the organizational knowledge is found within organizations and, consequently, to not neglect the importance of people in keeping competitiveness high. The article provides new information on how firms located in a particular region of Spain perform in relation to knowledge management, and it could be considered a sort of benchmarking practice on the behavior of SME in managing knowledge, which will be useful for the organization when taking management decisions. © 2015 Wiley Periodicals, Inc.|Ergonomics; Personnel, Industrial cluster; Informal practices; Knowledge management practices; Knowledge management process; Leadership; Management decisions; Organizational knowledge; Small and medium sized enterprise, Knowledge management|cited By 11|Department of Management and Industrial Engineering, University of the Basque Country, UPV, EHU, Bilbao, Spain|English|
article|31|Journal Article|Pillai RN||Q2|35|Inventory management performance in machine tool SMEs: What factors do influence them?|Journal of Industrial Engineering and Management|2010|3|3|542-560|||2010|||2013-8423|http://dx.doi.org/10.3926/jiem.2010.v3n3|10.3926/jiem.2010.v3n3|Small and Medium Enterprises (SMEs) are one of the principal driving forces in the development of an economy because of its significant contribution in terms of number of enterprises, employment, output and exports in most developing as well as developed countries. But SMEs, particularly in developing countries like India, face constraints in key areas such as technology, finance, marketing and human resources. Moreover these SMEs have been exposed to intense competition since early 1990s because of globalization. However, globalization, the process of continuing integration of the countries in the world has opened up new opportunities for SMEs of developing countries to cater to wider international market which brings out the need for these SMEs to develop competitiveness for their survival as well as growth. It is observed from literature that pursuing appropriate IM practice is one of the ways of acquiring competitiveness among others, by effectively managing and minimizing inventory investment. Inventory management can therefore be one of the crucial determinants of competitiveness as well as operational performance of SMEs in inventory intensive manufacturing industries. The key issue is whether Indian SMEs pursue better IM practices with an intension to reduce their inventory cost and enhance their competitiveness. If so, what are the IM practices pursued by these enterprises? What are the factors which influence the inventory cost and IM performance of enterprises? These questions have been addressed in this study with reference to machine tool SMEs located in the city of Bangalore, India.|Bangalore , India; Developed countries; Driving forces; Human resources; IM practices; International markets; Inventory costs; Inventory investment; Inventory management; Key issues; Manufacturing industries; New opportunities; Operational performance; Small and medium enterprise, Competition; Costs; Developing countries; Economics; International trade; Inventory control; Machine tools, Industry|cited By 7|Indian Institute of Science, India|English|
article|44|Journal Article|Patalas-Maliszewska J,Hochmeister M||Q2|19|Modeling strategic-knowledge-resource management based on individual competencies in SMEs|Contemporary Economics|2011|5|2|72-79|University of Finance and Management in Warsaw||2011|||2084-0845|http://dx.doi.org/10.5709/ce.1897-9254.13|10.5709/ce.1897-9254.13|A number of publications have dealt with the correlation between knowledge-management capability and competitiveness. In the article describing human resources as strategic-knowledge resources, which is motivated by: the concept of effective management of resources in an organization (Sirmon and Hitt, 2003), an enterprise's unique potential in the form of knowledge and experience (Barney, 1995), and the concept of competence management (Hamel and Prahalad, 1994). This study describes competence and resource management, sharing in the collaborative development and implementation of strategic- knowledge-resource management in SMEs. In this context, strategic-knowledge resources are defined in such a way as to be incorporated into a model of strategic-knowledge-resource management.||cited By 4|University of Zielona Gora, Poland; Vienna University of Technology, Austria|English|
article|51|Journal Article|Faeni DP,Puspitaningtyas Faeni R,Alden Riyadh H,Yuliansyah Y||Q2|37|The COVID-19 pandemic impact on the global tourism industry SMEs: a human capital development perspective|Review of International Business and Strategy|2023|33|2|317-327|Emerald Publishing||2023|||2059-6014|http://dx.doi.org/10.1108/RIBS-08-2021-0116|10.1108/RIBS-08-2021-0116|Purpose: This paper aims to propose a model for increasing human capital competitiveness in the tourism sector in emerging economies. Using Indonesia as an example, the authors study the extent of the COVID-19 pandemic’s impact and the sector’s resilience. Design/methodology/approach: Data was collected using a survey of 199 tourism workers in Magelang city in Central Java Island. The data was analyzed using structural equation model with Smart PLS. Findings: The results confirm that social and human capital influence business success. Furthermore, innovation moderates the influence of human capital and social capital on business success. Originality/value: By conducting a primary survey with the tourism workers and those who work and interact with the tourism industry in Indonesia, the authors show how a promising approach to creating and sharing agile knowledge can enhance the tourism industry micro, small and medium enterprises in emerging economies during and post-COVID-19 pandemic and after. © 2022, Emerald Publishing Limited.||cited By 2|Universitas Budi Luhur, South Jakarta, Indonesia; Universitas Muhammadiyah Yogyakarta, Bantul, Indonesia; Universitas Lampung, Lampung, Bandar Lampung, Indonesia|English|
