year;Authors; AuthorOne;AuthorLast;Quartil;Keywords;Keyword;Count;
1999;Forbes DP,Milliken FJ;Forbes DP;Milliken FJ;Q1;vacio;vacio;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim;business;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim; corporate strategy;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim; governance approach;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim; institutional framework;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim; nongovernmental organization;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim; strategic approach;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim; sustainability;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim; Pacific Ocean;1;
2014;Amran A,Devi SS;Amran A;Devi SS;Q1;business, corporate strategy, governance approach, institutional framework, nongovernmental organization, strategic approach, sustainability, Pacific Ocean, Pacific Rim; Pacific Rim;1;
2009;Gordon LA,Tseng CY;Gordon LA;Tseng CY;Q1;vacio;vacio;1;
1997;Kole SR;Kole SR;vacio;Q1;vacio;vacio;1;
2011;Zaman M,Haniffa R;Zaman M;Haniffa R;Q1;vacio;vacio;1;
2004;Nicholson GJ,Kiel GC;Nicholson GJ;Kiel GC;Q1;vacio;vacio;1;
2009;Subramaniam N,Zhang J;Subramaniam N;Zhang J;Q1;vacio;vacio;1;
2010;Brown WA,Guo C;Brown WA;Guo C;Q1;vacio;vacio;1;
2006;Van Der Walt N,Townsend A;Van Der Walt N;Townsend A;vacio;vacio;vacio;1;
2008;Kahan M,Rock E;Kahan M;Rock E;Q2;vacio;vacio;1;
2007;Markarian G,Parbonetti A;Markarian G;Parbonetti A;Q1;vacio;vacio;1;
2010;Yatim P;Yatim P;vacio;Q2;vacio;vacio;1;
2017;Cuadrado-Ballesteros B,García-Sánchez IM;Cuadrado-Ballesteros B;García-Sánchez IM;Q1;vacio;vacio;1;
2015;Ndofor HA,Priem RL;Ndofor HA;Priem RL;Q1;vacio;vacio;1;
2006;Varghese J,Nadeau S;Varghese J;Nadeau S;Q1;community organization, community resource management, community response, ownership, rural society, Canada, North America;community organization;1;
2006;Varghese J,Nadeau S;Varghese J;Nadeau S;Q1;community organization, community resource management, community response, ownership, rural society, Canada, North America; community resource management;1;
2006;Varghese J,Nadeau S;Varghese J;Nadeau S;Q1;community organization, community resource management, community response, ownership, rural society, Canada, North America; community response;1;
2006;Varghese J,Nadeau S;Varghese J;Nadeau S;Q1;community organization, community resource management, community response, ownership, rural society, Canada, North America; ownership;1;
2006;Varghese J,Nadeau S;Varghese J;Nadeau S;Q1;community organization, community resource management, community response, ownership, rural society, Canada, North America; rural society;1;
2006;Varghese J,Nadeau S;Varghese J;Nadeau S;Q1;community organization, community resource management, community response, ownership, rural society, Canada, North America; Canada;1;
2006;Varghese J,Nadeau S;Varghese J;Nadeau S;Q1;community organization, community resource management, community response, ownership, rural society, Canada, North America; North America;1;
2009;de Andrés-Alonso P,Romero-Merino ME;de Andrés-Alonso P;Romero-Merino ME;Q1;vacio;vacio;1;
